,species,decimalLongitude,decimalLatitude,country
1626,Ayenia glabra,-104.434444,22.365278,Mexico
1627,Ayenia glabra,-105.01166699999999,22.426667000000002,Mexico
1628,Ayenia glabra,-104.434444,22.365278,Mexico
1629,Ayenia wrightii,-107.552778,24.666667,Mexico
1630,Ayenia berlandieri,-99.4725,21.221389000000002,Mexico
1631,Ayenia wrightii,-106.526389,24.275555999999998,Mexico
1632,Ayenia filiformis,-109.28333300000001,27.25,Mexico
1633,Ayenia pusilla,-104.475,22.308332999999998,Mexico
1634,Ayenia glabra,-104.475,22.308332999999998,Mexico
1635,Ayenia glabra,-104.44166700000001,22.341667,Mexico
1636,Ayenia glabra,-104.43333299999999,22.366667,Mexico
1637,Ayenia glabra,-104.44166700000001,22.458333,Mexico
1638,Ayenia glabra,-104.641667,22.258333,Mexico
1639,Ayenia filiformis,-109.28889,27.08333,Mexico
1640,Ayenia filiformis,-109.03528,27.11389,Mexico
1641,Ayenia filiformis,-108.79306000000001,27.00556,Mexico
1642,Ayenia filiformis,-111.06667,27.96667,Mexico
1643,Ayenia filiformis,-111.11667,27.975559999999998,Mexico
1644,Ayenia filiformis,-109.28889,27.08333,Mexico
